borrower_id,business_name,industry,nic_code,loan_type,loan_amount_lakhs,vintage_years,region,sanction_date,gstin,pan,employee_count_initial,is_defaulter,true_pd,default_month
MSME00001,Business_00001 Pvt Ltd,Auto Ancillary,C29,Term Loan,447.42,5.6,East,2022-05-17,07CBVRV9217D1Z5,PYJPY0007T,236,0,0.17,-1
MSME00002,Business_00002 Pvt Ltd,Construction,F41-F43,Term Loan,29.57,4.2,Central,2023-02-08,15LNTGX8973B1Z5,OIFPS7017A,119,0,0.26,-1
MSME00003,Business_00003 Pvt Ltd,Pharma,C21,Working Capital,174.66,21.7,West,2023-09-20,26PUWRT5795F1Z5,MKUPS1314X,22,0,0.12,-1
MSME00004,Business_00004 Pvt Ltd,Food Processing,C10,Working Capital,37.68,8.7,East,2023-07-09,13SQBRZ6578U1Z5,DGEPI1103M,33,0,0.2,-1
MSME00005,Business_00005 Pvt Ltd,Auto Ancillary,C29,Working Capital,104.99,1.5,Central,2023-07-24,35TNHCR6370H1Z5,NHUPE3697I,226,0,0.27,-1
MSME00006,Business_00006 Pvt Ltd,Agriculture Allied,A01,Trade Finance,270.71,6.5,West,2022-07-25,02QMVNI8835L1Z5,FLYPK0204H,178,0,0.18,-1
MSME00007,Business_00007 Pvt Ltd,Services,S90-S99,Term Loan,21.11,1.2,East,2023-02-14,22ERGMA5447I1Z5,VLMPZ4004U,182,0,0.21,-1
MSME00008,Business_00008 Pvt Ltd,Auto Ancillary,C29,Term Loan,367.7,7.6,West,2023-08-29,10HBROX5788V1Z5,HBWPE1484U,149,0,0.17,-1
MSME00009,Business_00009 Pvt Ltd,Pharma,C21,Working Capital,459.74,0.8,East,2022-02-05,32XRXCA6000D1Z5,RYRPP4115Z,155,0,0.2,-1
MSME00010,Business_00010 Pvt Ltd,Food Processing,C10,Working Capital,58.75,3.2,South,2022-08-18,30LODJK5929V1Z5,CZIPF9910R,10,0,0.23,-1
MSME00011,Business_00011 Pvt Ltd,Construction,F41-F43,Working Capital,142.79,7.8,South,2022-08-15,23KPQNP5906J1Z5,ZVBPW6054X,223,0,0.25,-1
MSME00012,Business_00012 Pvt Ltd,Pharma,C21,Working Capital,261.97,1.6,North,2023-11-26,10NTQIO6133X1Z5,XYBPA9514Q,167,0,0.2,-1
MSME00013,Business_00013 Pvt Ltd,Pharma,C21,Trade Finance,39.84,9.1,Central,2022-09-19,18KEZHV3414C1Z5,ANUPF6334V,125,0,0.09,-1
MSME00014,Business_00014 Pvt Ltd,Services,S90-S99,Term Loan,358.39,5.2,West,2022-05-11,32LSGSD6299R1Z5,XIWPZ2585J,41,0,0.13,-1
MSME00015,Business_00015 Pvt Ltd,Textiles,C13,Working Capital,204.18,2.5,West,2023-07-31,26GOUAL9726F1Z5,XHTPP6667R,93,0,0.26,-1
MSME00016,Business_00016 Pvt Ltd,Food Processing,C10,Trade Finance,190.0,2.8,East,2023-03-24,26MFMOP7332Q1Z5,ROVPF4172P,53,1,0.2,23
MSME00017,Business_00017 Pvt Ltd,Trading,G45-G47,Working Capital,96.48,13.0,Central,2022-07-05,26COQFX2346L1Z5,QQLPW6554F,135,0,0.22,-1
MSME00018,Business_00018 Pvt Ltd,Pharma,C21,Trade Finance,60.32,1.2,West,2023-09-21,27VBGPX0586E1Z5,BEBPC4029L,172,0,0.17,-1
MSME00019,Business_00019 Pvt Ltd,Textiles,C13,Working Capital,274.0,5.9,Central,2022-07-05,30JJYRG8195I1Z5,VRSPM8726L,192,0,0.23,-1
MSME00020,Business_00020 Pvt Ltd,Trading,G45-G47,Working Capital,92.54,6.1,Central,2022-10-01,14CXNUP6271X1Z5,DNGPU1505A,39,0,0.22,-1
MSME00021,Business_00021 Pvt Ltd,Food Processing,C10,Working Capital,43.68,12.8,South,2023-10-25,34WRGQF9630F1Z5,SJWPN1822N,172,0,0.2,-1
MSME00022,Business_00022 Pvt Ltd,Manufacturing,C10-C33,Working Capital,69.8,6.2,West,2022-12-18,20STVUR1250W1Z5,PGAPE9206Z,245,0,0.17,-1
MSME00023,Business_00023 Pvt Ltd,Agriculture Allied,A01,Working Capital,120.87,4.4,West,2023-02-17,23KSVDU2457V1Z5,NPGPI6325P,191,0,0.24,-1
MSME00024,Business_00024 Pvt Ltd,Textiles,C13,Term Loan,44.48,11.6,North,2022-05-31,09JJJZD1826D1Z5,VRGPQ8125K,136,0,0.21,-1
MSME00025,Business_00025 Pvt Ltd,IT/ITES,J62,Trade Finance,123.05,8.8,Central,2023-01-19,12QXMDF6791I1Z5,WNQPS5342P,173,0,0.07,-1
MSME00026,Business_00026 Pvt Ltd,Manufacturing,C10-C33,Term Loan,124.56,6.3,East,2022-02-05,10SAPRH9508G1Z5,XAKPJ6172T,59,0,0.15,-1
MSME00027,Business_00027 Pvt Ltd,Agriculture Allied,A01,Working Capital,262.12,0.5,South,2022-11-22,03GFCHA4729K1Z5,BONPU8367J,137,0,0.29,-1
MSME00028,Business_00028 Pvt Ltd,Services,S90-S99,Term Loan,33.54,2.3,North,2023-04-10,26KBIBU2988W1Z5,QFEPJ9089W,69,0,0.16,-1
MSME00029,Business_00029 Pvt Ltd,Auto Ancillary,C29,Working Capital,190.76,5.0,South,2023-04-11,05IWRJQ9939X1Z5,QRTPZ8100I,163,0,0.19,-1
MSME00030,Business_00030 Pvt Ltd,Construction,F41-F43,Working Capital,279.69,3.7,East,2022-04-05,22WPKUO2243E1Z5,LQOPD4552W,64,0,0.28,-1
MSME00031,Business_00031 Pvt Ltd,IT/ITES,J62,Term Loan,34.7,1.9,North,2022-05-14,05DMTQZ3383G1Z5,XAIPV0838P,175,0,0.16,-1
MSME00032,Business_00032 Pvt Ltd,Services,S90-S99,Term Loan,38.65,0.8,South,2022-06-11,33PGBLK7092H1Z5,ZEPPV8500R,13,0,0.21,-1
MSME00033,Business_00033 Pvt Ltd,Food Processing,C10,Working Capital,375.67,4.0,East,2023-07-10,26HKUEH9480E1Z5,KKLPB5994N,95,1,0.23,16
MSME00034,Business_00034 Pvt Ltd,Services,S90-S99,Working Capital,43.66,1.7,North,2022-10-27,02SWOHX7061O1Z5,GHZPJ9928Q,106,0,0.23,-1
MSME00035,Business_00035 Pvt Ltd,Auto Ancillary,C29,Trade Finance,1060.38,1.3,East,2022-12-22,10DUANT3889Q1Z5,SBOPF0799L,190,0,0.24,-1
MSME00036,Business_00036 Pvt Ltd,Food Processing,C10,Working Capital,21.23,2.5,North,2022-08-28,04ERQUG9817W1Z5,SFBPU1647V,148,0,0.23,-1
MSME00037,Business_00037 Pvt Ltd,IT/ITES,J62,Working Capital,103.13,7.7,West,2023-07-18,05GOCRF9530U1Z5,HLYPW0889R,202,0,0.1,-1
MSME00038,Business_00038 Pvt Ltd,Auto Ancillary,C29,Term Loan,177.5,3.3,West,2023-08-09,17KXBYI2586D1Z5,RGOPE4057D,92,1,0.2,30
MSME00039,Business_00039 Pvt Ltd,Trading,G45-G47,Working Capital,76.21,1.2,South,2022-06-16,03BJJQP9033Y1Z5,MSJPZ0314L,93,1,0.3,19
MSME00040,Business_00040 Pvt Ltd,Construction,F41-F43,Working Capital,130.37,0.6,Central,2022-05-20,10APKDC8489F1Z5,ZAYPY4026U,38,1,0.33,27
MSME00041,Business_00041 Pvt Ltd,IT/ITES,J62,Working Capital,136.53,3.5,Central,2022-05-19,11YATDZ9590Z1Z5,KYTPU2725W,115,0,0.13,-1
MSME00042,Business_00042 Pvt Ltd,Trading,G45-G47,Term Loan,155.88,7.9,East,2022-08-23,21OCAFS3810Z1Z5,MBWPC2439G,39,0,0.2,-1
MSME00043,Business_00043 Pvt Ltd,Agriculture Allied,A01,Term Loan,72.77,5.3,North,2022-01-03,06LOQAN6133B1Z5,CYQPB8768E,121,0,0.19,-1
MSME00044,Business_00044 Pvt Ltd,IT/ITES,J62,Term Loan,465.44,1.3,West,2022-09-13,26NRHTA6552J1Z5,MSMPB5174K,217,0,0.16,-1
MSME00045,Business_00045 Pvt Ltd,Agriculture Allied,A01,Trade Finance,188.6,2.9,Central,2023-01-06,06ZJYSC3235Q1Z5,BFVPX5271I,228,0,0.21,-1
MSME00046,Business_00046 Pvt Ltd,Food Processing,C10,Term Loan,200.96,9.7,West,2022-10-05,10FMFLN0587Z1Z5,VQTPQ2952E,209,0,0.18,-1
MSME00047,Business_00047 Pvt Ltd,Trading,G45-G47,Working Capital,145.05,1.0,East,2023-05-31,05DFKEV9267U1Z5,XXMPY3436Y,170,0,0.3,-1
MSME00048,Business_00048 Pvt Ltd,Construction,F41-F43,Working Capital,166.53,3.8,East,2022-07-31,28TZUJH4806E1Z5,FKKPR6272I,54,0,0.28,-1
MSME00049,Business_00049 Pvt Ltd,Auto Ancillary,C29,Term Loan,91.33,2.2,North,2022-08-04,28JWBER6596I1Z5,NQVPZ6259N,98,0,0.2,-1
MSME00050,Business_00050 Pvt Ltd,Pharma,C21,Term Loan,300.25,0.7,Central,2022-09-27,13RYGBP9131Q1Z5,CIFPK7374O,144,0,0.18,-1
MSME00051,Business_00051 Pvt Ltd,Services,S90-S99,Term Loan,110.2,0.5,East,2023-04-21,10NOULS0875F1Z5,OHMPO1293A,101,0,0.21,-1
MSME00052,Business_00052 Pvt Ltd,Manufacturing,C10-C33,Term Loan,373.09,4.1,East,2023-06-12,18LTBGI1887A1Z5,ECGPR0129U,162,0,0.18,-1
MSME00053,Business_00053 Pvt Ltd,Construction,F41-F43,Working Capital,77.18,0.5,West,2022-03-05,05PNZMK3679P1Z5,VXMPT3122O,176,1,0.33,23
MSME00054,Business_00054 Pvt Ltd,Trading,G45-G47,Working Capital,146.84,0.5,South,2023-04-05,18SZOJW3577G1Z5,RARPE7426T,219,0,0.3,-1
MSME00055,Business_00055 Pvt Ltd,Pharma,C21,Working Capital,63.62,2.1,Central,2022-01-16,29LRRSD0469K1Z5,WXSPZ0752Y,221,0,0.15,-1
MSME00056,Business_00056 Pvt Ltd,Construction,F41-F43,Working Capital,153.08,0.5,North,2023-07-18,21WUKJX6004N1Z5,AXYPZ0844K,98,1,0.33,23
MSME00057,Business_00057 Pvt Ltd,Trading,G45-G47,Working Capital,41.14,2.6,North,2022-01-19,18IBLYJ1325D1Z5,UQPPE9954P,228,1,0.25,22
MSME00058,Business_00058 Pvt Ltd,Textiles,C13,Term Loan,187.27,0.7,West,2022-11-21,25IMJNY2238N1Z5,FYWPK4984E,226,1,0.29,18
MSME00059,Business_00059 Pvt Ltd,Textiles,C13,Term Loan,438.15,2.2,North,2022-04-03,22PIXWE8337T1Z5,KFXPQ8764Q,123,0,0.24,-1
